timesteps,episode_reward,episode_length
96.0,-11.804517,96.0
192.0,-12.135783,96.0
288.0,-13.299611,96.0
384.0,-11.371272,96.0
480.0,-12.993048,96.0
576.0,-11.659042,96.0
672.0,-11.960424,96.0
768.0,-11.83081,96.0
864.0,-11.51643,96.0
960.0,-11.805279,96.0
1056.0,-11.056073,96.0
1152.0,-10.628307,96.0
1248.0,-10.318769,96.0
1344.0,-10.742585,96.0
1440.0,-10.233504,96.0
1536.0,-10.663325,96.0
1632.0,-10.866513,96.0
1728.0,-11.181877,96.0
1824.0,-9.971229,96.0
1920.0,-11.553598,96.0
2016.0,-11.575636,96.0
2112.0,-11.042629,96.0
2208.0,-11.593659,96.0
2304.0,-11.524685,96.0
2400.0,-10.820254,96.0
2496.0,-10.837756,96.0
2592.0,-11.568917,96.0
2688.0,-11.324244,96.0
2784.0,-11.833116,96.0
2880.0,-10.724456,96.0
2976.0,-10.604504,96.0
3072.0,-11.126941,96.0
3168.0,-14.118555,96.0
3264.0,-11.57977,96.0
3360.0,-10.384535,96.0
3456.0,-9.170726,96.0
3552.0,-9.785894,96.0
3648.0,-11.67712,96.0
3744.0,-9.849697,96.0
3840.0,-10.550158,96.0
3936.0,-12.142432,96.0
4032.0,-10.208017,96.0
4128.0,-12.34378,96.0
4224.0,-12.707356,96.0
4320.0,-11.419486,96.0
4416.0,-10.600178,96.0
4512.0,-10.278639,96.0
4608.0,-11.081136,96.0
4704.0,-12.004105,96.0
4800.0,-11.643707,96.0
4896.0,-12.281021,96.0
4992.0,-9.84817,96.0
5088.0,-11.803142,96.0
5184.0,-12.235009,96.0
5280.0,-11.438891,96.0
5376.0,-11.673239,96.0
5472.0,-11.039719,96.0
5568.0,-11.395642,96.0
5664.0,-12.083322,96.0
5760.0,-11.556169,96.0
5856.0,-11.690379,96.0
5952.0,-11.928516,96.0
6048.0,-10.104425,96.0
6144.0,-11.290011,96.0
6240.0,-12.002144,96.0
6336.0,-11.918957,96.0
6432.0,-11.088402,96.0
6528.0,-12.105073,96.0
6624.0,-10.194525,96.0
6720.0,-10.99889,96.0
6816.0,-11.00382,96.0
6912.0,-11.754407,96.0
7008.0,-11.723941,96.0
7104.0,-11.233306,96.0
7200.0,-11.046056,96.0
7296.0,-12.935853,96.0
7392.0,-10.873675,96.0
7488.0,-11.598761,96.0
7584.0,-11.951199,96.0
7680.0,-11.29916,96.0
7776.0,-9.543429,96.0
7872.0,-11.499539,96.0
7968.0,-11.041445,96.0
8064.0,-11.352295,96.0
8160.0,-11.715072,96.0
8256.0,-10.608224,96.0
8352.0,-11.750913,96.0
8448.0,-11.91486,96.0
8544.0,-10.836431,96.0
8640.0,-11.991801,96.0
8736.0,-11.569774,96.0
8832.0,-9.462931,96.0
8928.0,-9.839661,96.0
9024.0,-7.5509,96.0
9120.0,-10.871669,96.0
9216.0,-11.463572,96.0
9312.0,-12.738006,96.0
9408.0,-10.097472,96.0
9504.0,-10.626208,96.0
9600.0,-8.896865,96.0
9696.0,-11.881655,96.0
9792.0,-9.11954,96.0
9888.0,-10.550966,96.0
9984.0,-11.561732,96.0
10080.0,-11.635636,96.0
10176.0,-12.354062,96.0
10272.0,-11.152742,96.0
10368.0,-10.81134,96.0
10464.0,-11.442626,96.0
10560.0,-10.662293,96.0
10656.0,-10.921342,96.0
10752.0,-10.033417,96.0
10848.0,-11.145146,96.0
10944.0,-12.089901,96.0
11040.0,-10.296477,96.0
11136.0,-7.944327,96.0
11232.0,-13.323042,96.0
11328.0,-11.981665,96.0
11424.0,-11.667287,96.0
11520.0,-10.955822,96.0
11616.0,-11.78348,96.0
11712.0,-11.704922,96.0
11808.0,-11.462167,96.0
11904.0,-10.608851,96.0
12000.0,-10.110191,96.0
12096.0,-11.664407,96.0
12192.0,-11.063962,96.0
12288.0,-12.031068,96.0
12384.0,-12.283138,96.0
12480.0,-11.721973,96.0
12576.0,-11.617544,96.0
12672.0,-11.589809,96.0
12768.0,-10.306033,96.0
12864.0,-12.000207,96.0
12960.0,-11.345127,96.0
13056.0,-12.150569,96.0
13152.0,-11.679557,96.0
13248.0,-11.070008,96.0
13344.0,-10.811435,96.0
13440.0,-11.19751,96.0
13536.0,-10.535393,96.0
13632.0,-12.996871,96.0
13728.0,-11.602711,96.0
13824.0,-11.185828,96.0
13920.0,-10.484828,96.0
14016.0,-11.787762,96.0
14112.0,-11.084413,96.0
14208.0,-8.094087,96.0
14304.0,-11.916847,96.0
14400.0,-10.94789,96.0
14496.0,-11.738021,96.0
14592.0,-12.044496,96.0
14688.0,-11.565966,96.0
14784.0,-11.654617,96.0
14880.0,-11.496899,96.0
14976.0,-11.281046,96.0
15072.0,-11.311934,96.0
15168.0,-11.240484,96.0
15264.0,-11.44368,96.0
15360.0,-11.380016,96.0
15456.0,-10.740564,96.0
15552.0,-11.197745,96.0
15648.0,-12.629792,96.0
15744.0,-11.002631,96.0
15840.0,-10.440561,96.0
15936.0,-9.303609,96.0
16032.0,-10.946639,96.0
16128.0,-9.542387,96.0
16224.0,-10.864657,96.0
16320.0,-11.951735,96.0
16416.0,-12.122871,96.0
16512.0,-11.273515,96.0
16608.0,-11.47619,96.0
16704.0,-11.869704,96.0
16800.0,-11.280027,96.0
16896.0,-11.548837,96.0
16992.0,-10.530885,96.0
17088.0,-11.324162,96.0
17184.0,-11.311716,96.0
17280.0,-11.751446,96.0
17376.0,-11.965936,96.0
17472.0,-11.499516,96.0
17568.0,-9.999859,96.0
17664.0,-12.629656,96.0
17760.0,-11.568577,96.0
17856.0,-10.433384,96.0
