timesteps,episode_reward,episode_length
96.0,-15.450915,96.0
192.0,-12.200176,96.0
288.0,-12.501022,96.0
384.0,-10.874555,96.0
480.0,-13.420863,96.0
576.0,-11.256039,96.0
672.0,-13.205209,96.0
768.0,-15.668613,96.0
864.0,-15.297353,96.0
960.0,-12.485543,96.0
1056.0,-12.642545,96.0
1152.0,-15.187356,96.0
1248.0,-14.107582,96.0
1344.0,-11.71022,96.0
1440.0,-11.823606,96.0
1536.0,-13.378513,96.0
1632.0,-12.887524,96.0
1728.0,-12.628079,96.0
1824.0,-11.661489,96.0
1920.0,-14.347119,96.0
2016.0,-13.551809,96.0
2112.0,-14.106936,96.0
2208.0,-12.104975,96.0
2304.0,-14.617589,96.0
2400.0,-14.275001,96.0
2496.0,-12.840369,96.0
2592.0,-13.081944,96.0
2688.0,-12.787669,96.0
2784.0,-13.998063,96.0
2880.0,-12.830773,96.0
2976.0,-13.945527,96.0
3072.0,-10.914655,96.0
3168.0,-12.454793,96.0
3264.0,-11.73098,96.0
3360.0,-13.803389,96.0
3456.0,-13.850572,96.0
3552.0,-10.343741,96.0
3648.0,-15.307853,96.0
3744.0,-12.956833,96.0
3840.0,-14.572155,96.0
3936.0,-14.418582,96.0
4032.0,-15.842294,96.0
4128.0,-14.211323,96.0
4224.0,-13.655515,96.0
4320.0,-13.185564,96.0
4416.0,-12.674339,96.0
4512.0,-12.358902,96.0
4608.0,-13.853497,96.0
4704.0,-15.024214,96.0
4800.0,-12.787465,96.0
4896.0,-10.828324,96.0
4992.0,-9.662201,96.0
5088.0,-13.024244,96.0
5184.0,-12.627608,96.0
5280.0,-14.702655,96.0
5376.0,-12.985409,96.0
5472.0,-11.862548,96.0
5568.0,-12.641353,96.0
5664.0,-10.03583,96.0
5760.0,-11.120934,96.0
5856.0,-14.75864,96.0
5952.0,-12.125303,96.0
6048.0,-12.475791,96.0
6144.0,-13.835517,96.0
6240.0,-12.26013,96.0
6336.0,-9.440358,96.0
6432.0,-12.027754,96.0
6528.0,-14.268075,96.0
6624.0,-12.220536,96.0
6720.0,-13.944574,96.0
6816.0,-12.452435,96.0
6912.0,-11.775557,96.0
7008.0,-15.364724,96.0
7104.0,-10.230997,96.0
7200.0,-11.76719,96.0
7296.0,-15.028701,96.0
7392.0,-10.207724,96.0
7488.0,-11.841777,96.0
7584.0,-13.113252,96.0
7680.0,-12.483314,96.0
7776.0,-13.283699,96.0
7872.0,-12.841014,96.0
7968.0,-11.506973,96.0
8064.0,-10.036281,96.0
8160.0,-12.467315,96.0
8256.0,-12.02834,96.0
8352.0,-14.187986,96.0
8448.0,-10.4886,96.0
8544.0,-12.259186,96.0
8640.0,-12.804913,96.0
8736.0,-13.660542,96.0
8832.0,-7.964166,96.0
8928.0,-11.478448,96.0
9024.0,-14.363312,96.0
9120.0,-11.740994,96.0
9216.0,-14.729829,96.0
9312.0,-14.432769,96.0
9408.0,-12.283844,96.0
9504.0,-11.194173,96.0
9600.0,-8.48865,96.0
9696.0,-14.613417,96.0
9792.0,-11.621348,96.0
9888.0,-14.945971,96.0
9984.0,-13.409023,96.0
10080.0,-12.022809,96.0
10176.0,-12.611125,96.0
10272.0,-15.179174,96.0
10368.0,-13.828496,96.0
10464.0,-12.720454,96.0
10560.0,-11.809958,96.0
10656.0,-11.043864,96.0
10752.0,-15.048093,96.0
10848.0,-12.541266,96.0
10944.0,-14.499533,96.0
11040.0,-15.456207,96.0
11136.0,-13.857383,96.0
11232.0,-13.038515,96.0
11328.0,-13.435585,96.0
11424.0,-12.495638,96.0
11520.0,-13.102092,96.0
11616.0,-12.35558,96.0
11712.0,-14.81152,96.0
11808.0,-12.819431,96.0
11904.0,-11.035404,96.0
12000.0,-13.485554,96.0
12096.0,-14.004019,96.0
12192.0,-13.78635,96.0
12288.0,-10.677406,96.0
12384.0,-13.713028,96.0
12480.0,-13.311587,96.0
12576.0,-12.863651,96.0
12672.0,-12.780713,96.0
12768.0,-12.620163,96.0
12864.0,-12.941163,96.0
12960.0,-13.386134,96.0
13056.0,-14.720232,96.0
13152.0,-14.600407,96.0
13248.0,-14.233891,96.0
13344.0,-13.007223,96.0
13440.0,-14.54434,96.0
13536.0,-14.239366,96.0
13632.0,-13.063721,96.0
13728.0,-13.653613,96.0
13824.0,-15.268454,96.0
13920.0,-14.411524,96.0
14016.0,-13.404898,96.0
14112.0,-10.094004,96.0
14208.0,-15.0625,96.0
14304.0,-12.860615,96.0
14400.0,-13.626632,96.0
14496.0,-14.248664,96.0
14592.0,-12.170732,96.0
14688.0,-15.030204,96.0
14784.0,-14.554642,96.0
14880.0,-13.77523,96.0
14976.0,-13.071938,96.0
15072.0,-12.593749,96.0
15168.0,-13.646454,96.0
15264.0,-13.699974,96.0
15360.0,-12.770313,96.0
15456.0,-11.73287,96.0
15552.0,-12.844344,96.0
15648.0,-13.140293,96.0
15744.0,-15.564725,96.0
15840.0,-15.436573,96.0
15936.0,-14.955183,96.0
16032.0,-15.365592,96.0
16128.0,-13.10061,96.0
16224.0,-12.740406,96.0
16320.0,-14.25043,96.0
16416.0,-15.718807,96.0
16512.0,-14.938992,96.0
16608.0,-12.764628,96.0
16704.0,-14.07737,96.0
16800.0,-14.528917,96.0
16896.0,-13.648175,96.0
16992.0,-12.813577,96.0
17088.0,-12.145122,96.0
17184.0,-14.824391,96.0
17280.0,-15.33938,96.0
17376.0,-12.597813,96.0
17472.0,-14.356141,96.0
17568.0,-15.269208,96.0
17664.0,-15.285303,96.0
