timesteps,episode_reward,episode_length
96.0,-14.219371,96.0
192.0,-13.794205,96.0
288.0,-13.212625,96.0
384.0,-13.10451,96.0
480.0,-14.095573,96.0
576.0,-13.856838,96.0
672.0,-13.260218,96.0
768.0,-13.826995,96.0
864.0,-15.281517,96.0
960.0,-14.019839,96.0
1056.0,-11.536586,96.0
1152.0,-12.699839,96.0
1248.0,-13.599827,96.0
1344.0,-12.365515,96.0
1440.0,-12.156048,96.0
1536.0,-14.589582,96.0
1632.0,-13.387921,96.0
1728.0,-11.038842,96.0
1824.0,-13.049501,96.0
1920.0,-13.989087,96.0
2016.0,-13.432148,96.0
2112.0,-11.602495,96.0
2208.0,-14.466051,96.0
2304.0,-15.025099,96.0
2400.0,-10.736659,96.0
2496.0,-9.065279,96.0
2592.0,-15.057188,96.0
2688.0,-11.956326,96.0
2784.0,-12.375517,96.0
2880.0,-9.897103,96.0
2976.0,-13.884166,96.0
3072.0,-14.90736,96.0
3168.0,-15.441195,96.0
3264.0,-14.734491,96.0
3360.0,-13.54155,96.0
3456.0,-13.655667,96.0
3552.0,-12.644633,96.0
3648.0,-15.01467,96.0
3744.0,-13.049233,96.0
3840.0,-13.85542,96.0
3936.0,-14.581436,96.0
4032.0,-14.634318,96.0
4128.0,-13.839116,96.0
4224.0,-13.4289,96.0
4320.0,-10.481885,96.0
4416.0,-9.954383,96.0
4512.0,-12.279501,96.0
4608.0,-10.130959,96.0
4704.0,-15.163611,96.0
4800.0,-12.530284,96.0
4896.0,-11.976671,96.0
4992.0,-14.929449,96.0
5088.0,-13.600689,96.0
5184.0,-14.721916,96.0
5280.0,-12.339303,96.0
5376.0,-13.382874,96.0
5472.0,-13.850755,96.0
5568.0,-12.427454,96.0
5664.0,-9.318994,96.0
5760.0,-14.128023,96.0
5856.0,-12.290582,96.0
5952.0,-11.230709,96.0
6048.0,-10.082306,96.0
6144.0,-13.927142,96.0
6240.0,-13.671991,96.0
6336.0,-11.89674,96.0
6432.0,-11.03403,96.0
6528.0,-13.319609,96.0
6624.0,-14.808112,96.0
6720.0,-12.898172,96.0
6816.0,-14.226434,96.0
6912.0,-15.295307,96.0
7008.0,-14.333704,96.0
7104.0,-13.053249,96.0
7200.0,-13.511852,96.0
7296.0,-13.767578,96.0
7392.0,-12.523044,96.0
7488.0,-15.308,96.0
7584.0,-13.156664,96.0
7680.0,-10.775998,96.0
7776.0,-13.598034,96.0
7872.0,-12.701556,96.0
7968.0,-11.888645,96.0
8064.0,-13.297517,96.0
8160.0,-14.695779,96.0
8256.0,-12.430373,96.0
8352.0,-13.672864,96.0
8448.0,-13.091759,96.0
8544.0,-13.542208,96.0
8640.0,-13.726826,96.0
8736.0,-11.007678,96.0
8832.0,-14.921258,96.0
8928.0,-13.424443,96.0
9024.0,-13.667085,96.0
9120.0,-11.999705,96.0
9216.0,-12.978556,96.0
9312.0,-14.909414,96.0
9408.0,-10.428919,96.0
9504.0,-13.27235,96.0
9600.0,-13.401702,96.0
9696.0,-10.587688,96.0
9792.0,-11.924202,96.0
9888.0,-12.848193,96.0
9984.0,-12.228196,96.0
10080.0,-14.186979,96.0
10176.0,-13.285024,96.0
10272.0,-14.000575,96.0
10368.0,-14.526758,96.0
10464.0,-13.183083,96.0
10560.0,-14.439207,96.0
10656.0,-9.971921,96.0
10752.0,-12.613602,96.0
10848.0,-13.117124,96.0
10944.0,-13.879357,96.0
11040.0,-14.053577,96.0
11136.0,-12.336018,96.0
11232.0,-15.273335,96.0
11328.0,-13.408424,96.0
11424.0,-12.861327,96.0
11520.0,-11.652582,96.0
11616.0,-13.877659,96.0
11712.0,-12.787124,96.0
11808.0,-12.487539,96.0
11904.0,-13.627614,96.0
12000.0,-13.979442,96.0
12096.0,-12.456484,96.0
12192.0,-12.781213,96.0
12288.0,-14.860216,96.0
12384.0,-13.264828,96.0
12480.0,-14.848012,96.0
12576.0,-13.243897,96.0
12672.0,-13.799717,96.0
12768.0,-11.761999,96.0
12864.0,-13.457647,96.0
12960.0,-13.873775,96.0
13056.0,-13.014957,96.0
13152.0,-14.852067,96.0
13248.0,-10.003262,96.0
13344.0,-12.254361,96.0
13440.0,-14.479662,96.0
13536.0,-12.727365,96.0
13632.0,-13.516699,96.0
13728.0,-14.347941,96.0
13824.0,-13.262204,96.0
13920.0,-13.494579,96.0
14016.0,-14.800123,96.0
14112.0,-13.509354,96.0
14208.0,-14.576821,96.0
14304.0,-14.362306,96.0
14400.0,-9.636258,96.0
14496.0,-15.018756,96.0
14592.0,-14.107273,96.0
14688.0,-12.047655,96.0
14784.0,-11.914306,96.0
14880.0,-14.072858,96.0
14976.0,-11.964448,96.0
15072.0,-13.230009,96.0
15168.0,-12.169344,96.0
15264.0,-14.034617,96.0
15360.0,-11.618959,96.0
15456.0,-11.600471,96.0
15552.0,-12.717968,96.0
15648.0,-14.645235,96.0
15744.0,-12.499761,96.0
15840.0,-13.735531,96.0
15936.0,-15.475464,96.0
16032.0,-13.999762,96.0
16128.0,-14.743263,96.0
16224.0,-15.13356,96.0
16320.0,-13.473282,96.0
16416.0,-12.942687,96.0
16512.0,-14.256422,96.0
16608.0,-13.336845,96.0
16704.0,-13.243481,96.0
16800.0,-14.8829,96.0
16896.0,-12.254249,96.0
16992.0,-14.180131,96.0
17088.0,-12.983841,96.0
17184.0,-13.582445,96.0
17280.0,-14.907797,96.0
17376.0,-14.932201,96.0
17472.0,-13.72874,96.0
17568.0,-12.836671,96.0
17664.0,-14.980397,96.0
17760.0,-11.972062,96.0
17856.0,-13.488386,96.0
17952.0,-12.403681,96.0
18048.0,-12.599041,96.0
18144.0,-12.903814,96.0
18240.0,-12.952674,96.0
18336.0,-13.206906,96.0
18432.0,-12.188853,96.0
18528.0,-12.927333,96.0
18624.0,-14.885305,96.0
18720.0,-12.410565,96.0
18816.0,-13.269705,96.0
18912.0,-12.952356,96.0
19008.0,-13.95779,96.0
19104.0,-12.647204,96.0
19200.0,-14.284216,96.0
19296.0,-12.175569,96.0
19392.0,-13.570017,96.0
19488.0,-15.081744,96.0
19584.0,-12.293205,96.0
19680.0,-14.128199,96.0
19776.0,-13.880207,96.0
19872.0,-12.785098,96.0
19968.0,-12.955906,96.0
20064.0,-13.531938,96.0
20160.0,-13.82388,96.0
20256.0,-12.887283,96.0
20352.0,-12.398326,96.0
20448.0,-14.98114,96.0
20544.0,-14.625849,96.0
20640.0,-13.364035,96.0
20736.0,-13.948382,96.0
20832.0,-15.519074,96.0
20928.0,-13.533344,96.0
21024.0,-13.824917,96.0
21120.0,-12.78451,96.0
21216.0,-13.464141,96.0
21312.0,-12.060162,96.0
21408.0,-14.583358,96.0
21504.0,-12.092171,96.0
21600.0,-13.657891,96.0
21696.0,-10.558578,96.0
21792.0,-13.509112,96.0
21888.0,-12.929661,96.0
21984.0,-14.297121,96.0
22080.0,-13.678362,96.0
22176.0,-13.164879,96.0
22272.0,-14.368305,96.0
22368.0,-13.189363,96.0
22464.0,-13.750066,96.0
22560.0,-13.954726,96.0
22656.0,-13.055739,96.0
22752.0,-13.154139,96.0
22848.0,-9.64364,96.0
22944.0,-15.402113,96.0
23040.0,-12.533955,96.0
23136.0,-12.251543,96.0
23232.0,-13.001162,96.0
23328.0,-15.259917,96.0
23424.0,-10.811244,96.0
23520.0,-14.078914,96.0
23616.0,-12.357912,96.0
23712.0,-11.477661,96.0
23808.0,-13.200411,96.0
23904.0,-15.465356,96.0
24000.0,-8.489881,96.0
24096.0,-12.244654,96.0
24192.0,-13.523266,96.0
24288.0,-12.272154,96.0
24384.0,-13.075222,96.0
24480.0,-10.897989,96.0
24576.0,-15.022952,96.0
24672.0,-11.916187,96.0
24768.0,-12.872642,96.0
24864.0,-12.549384,96.0
24960.0,-13.376999,96.0
25056.0,-9.525111,96.0
25152.0,-12.788882,96.0
25248.0,-11.793694,96.0
25344.0,-12.608187,96.0
25440.0,-14.679894,96.0
25536.0,-13.612511,96.0
25632.0,-12.223414,96.0
25728.0,-14.735115,96.0
25824.0,-11.895101,96.0
25920.0,-15.216706,96.0
26016.0,-14.427628,96.0
26112.0,-8.830883,96.0
26208.0,-14.208477,96.0
26304.0,-13.755876,96.0
