timesteps,episode_reward,episode_length
96.0,-9.309925,96.0
192.0,-11.710157,96.0
288.0,-7.129529,96.0
384.0,-7.149339,96.0
480.0,-9.143007,96.0
576.0,-7.991626,96.0
672.0,-8.107557,96.0
768.0,-8.789934,96.0
864.0,-7.59248,96.0
960.0,-10.171449,96.0
1056.0,-7.435652,96.0
1152.0,-8.552649,96.0
1248.0,-9.317438,96.0
1344.0,-8.205199,96.0
1440.0,-7.774027,96.0
1536.0,-10.181898,96.0
1632.0,-7.444972,96.0
1728.0,-10.173383,96.0
1824.0,-9.345797,96.0
1920.0,-8.076473,96.0
2016.0,-9.217132,96.0
2112.0,-8.832785,96.0
2208.0,-9.299557,96.0
2304.0,-9.594626,96.0
2400.0,-8.922356,96.0
2496.0,-8.367317,96.0
2592.0,-10.642141,96.0
2688.0,-7.497347,96.0
2784.0,-9.36533,96.0
2880.0,-8.456408,96.0
2976.0,-7.103321,96.0
3072.0,-8.086901,96.0
3168.0,-9.529208,96.0
3264.0,-7.137796,96.0
3360.0,-9.871396,96.0
3456.0,-7.374056,96.0
3552.0,-7.551964,96.0
3648.0,-7.981191,96.0
3744.0,-7.588183,96.0
3840.0,-6.430749,96.0
3936.0,-9.131836,96.0
4032.0,-8.203429,96.0
4128.0,-6.726593,96.0
4224.0,-8.273531,96.0
4320.0,-9.276335,96.0
4416.0,-5.85155,96.0
4512.0,-7.602498,96.0
4608.0,-8.115077,96.0
4704.0,-6.436491,96.0
4800.0,-8.449703,96.0
4896.0,-8.940369,96.0
4992.0,-9.287778,96.0
5088.0,-5.602403,96.0
5184.0,-9.216805,96.0
5280.0,-7.046858,96.0
5376.0,-7.086673,96.0
5472.0,-6.025178,96.0
5568.0,-6.193128,96.0
5664.0,-8.970547,96.0
5760.0,-8.764465,96.0
5856.0,-7.807152,96.0
5952.0,-7.457245,96.0
6048.0,-7.620734,96.0
6144.0,-8.563673,96.0
6240.0,-10.129561,96.0
6336.0,-8.63523,96.0
6432.0,-9.314733,96.0
6528.0,-9.651926,96.0
6624.0,-9.507193,96.0
6720.0,-9.477144,96.0
6816.0,-9.918618,96.0
6912.0,-8.588823,96.0
7008.0,-7.218162,96.0
7104.0,-6.445438,96.0
7200.0,-7.849375,96.0
7296.0,-7.45864,96.0
7392.0,-8.265655,96.0
7488.0,-6.932262,96.0
7584.0,-8.603313,96.0
7680.0,-8.805583,96.0
7776.0,-8.013452,96.0
7872.0,-9.104245,96.0
7968.0,-9.001637,96.0
8064.0,-7.420883,96.0
8160.0,-8.288999,96.0
8256.0,-8.906974,96.0
8352.0,-7.155421,96.0
8448.0,-9.264682,96.0
8544.0,-8.970916,96.0
8640.0,-9.109919,96.0
8736.0,-7.357333,96.0
8832.0,-8.934837,96.0
8928.0,-10.244222,96.0
9024.0,-9.594523,96.0
9120.0,-7.153625,96.0
9216.0,-9.171155,96.0
9312.0,-9.385785,96.0
9408.0,-9.693676,96.0
9504.0,-8.639274,96.0
9600.0,-7.87796,96.0
9696.0,-9.968369,96.0
9792.0,-9.772684,96.0
9888.0,-7.111083,96.0
9984.0,-8.312273,96.0
10080.0,-5.574827,96.0
10176.0,-6.736315,96.0
10272.0,-8.372251,96.0
10368.0,-9.35159,96.0
10464.0,-9.10995,96.0
10560.0,-8.087104,96.0
10656.0,-9.772743,96.0
10752.0,-7.833039,96.0
10848.0,-9.311749,96.0
10944.0,-7.520033,96.0
11040.0,-7.368154,96.0
11136.0,-9.4036,96.0
11232.0,-5.941215,96.0
11328.0,-7.269209,96.0
11424.0,-9.153577,96.0
11520.0,-7.952668,96.0
11616.0,-7.241508,96.0
11712.0,-9.876033,96.0
11808.0,-7.601546,96.0
11904.0,-7.415129,96.0
12000.0,-8.810993,96.0
12096.0,-7.910468,96.0
12192.0,-6.867715,96.0
12288.0,-7.986938,96.0
12384.0,-9.396867,96.0
12480.0,-10.031453,96.0
12576.0,-7.410269,96.0
12672.0,-6.43997,96.0
12768.0,-6.948124,96.0
12864.0,-7.172766,96.0
12960.0,-7.095976,96.0
13056.0,-6.791325,96.0
13152.0,-6.220289,96.0
13248.0,-6.262443,96.0
13344.0,-8.412123,96.0
13440.0,-7.990363,96.0
13536.0,-8.033593,96.0
13632.0,-7.762702,96.0
13728.0,-8.397107,96.0
13824.0,-9.014981,96.0
13920.0,-6.821058,96.0
14016.0,-9.512753,96.0
14112.0,-9.41787,96.0
14208.0,-7.576833,96.0
14304.0,-10.270801,96.0
14400.0,-8.24693,96.0
14496.0,-8.966465,96.0
14592.0,-7.372586,96.0
14688.0,-8.521552,96.0
14784.0,-8.37547,96.0
14880.0,-9.605597,96.0
14976.0,-7.802688,96.0
15072.0,-7.685352,96.0
15168.0,-6.252852,96.0
15264.0,-6.958954,96.0
15360.0,-9.217454,96.0
15456.0,-8.737482,96.0
15552.0,-7.087819,96.0
15648.0,-7.235335,96.0
15744.0,-7.92749,96.0
15840.0,-8.974709,96.0
15936.0,-9.235477,96.0
16032.0,-6.127274,96.0
16128.0,-9.326262,96.0
16224.0,-9.005522,96.0
16320.0,-7.834056,96.0
16416.0,-6.75421,96.0
16512.0,-9.620872,96.0
16608.0,-7.374572,96.0
16704.0,-8.142134,96.0
16800.0,-8.57436,96.0
16896.0,-8.07122,96.0
16992.0,-8.05305,96.0
17088.0,-6.809986,96.0
17184.0,-9.609971,96.0
17280.0,-8.683678,96.0
17376.0,-7.825624,96.0
17472.0,-8.067082,96.0
17568.0,-5.942826,96.0
17664.0,-6.378936,96.0
17760.0,-9.217076,96.0
17856.0,-10.132575,96.0
17952.0,-9.32219,96.0
18048.0,-8.310966,96.0
