policy,total_reward,total_served_rentals,total_lost_rentals,total_accepted_returns,total_overflow_returns,rental_satisfaction_rate,return_acceptance_rate,total_reposition_distance_km,total_moved_bikes,saved_rentals_vs_no_rebalancing,lost_rentals_improvement_vs_no_rebalancing_pct,reward_improvement_vs_no_rebalancing_pct,distance_per_saved_rental,local_dqn_used_count,local_greedy_fallback_count
No Rebalancing,-57.59573799752995,673929.5,198323.5,674043.5,189457.5,0.7726307619463619,0.7805937688549289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy District + Greedy Local,-54.926962686778644,679767.0,192486.0,680144.5,183356.5,0.7793232009520173,0.7876591920565233,55219.41396956146,20156.0,5837.5,2.943423245354181,4.633633326941241,9.459428517269629,0.0,0.0
Global DQN + Greedy Local,-56.512621533518356,676900.0,195353.0,677103.0,186398.0,0.7760363105658564,0.7841369031419767,30506.99837319553,13236.0,2970.5,1.4978053533746631,1.8805496754951665,10.26998766981839,0.0,0.0
Greedy District + Local DQN,-55.1887095437484,679546.5,192706.5,679797.0,183704.0,0.7790704073244804,0.7872567605596288,50002.63192284107,18349.0,5617.0,2.8322412623819164,4.179178073705344,8.902017433299104,3529.0,0.0
Global DQN + Local DQN,-56.702506665900614,676762.5,195490.5,676961.5,186539.5,0.7758786728162586,0.7839730353525937,34501.430713977665,12896.0,2833.0,1.4284741848545432,1.5508635928367556,12.178408300027414,3543.0,0.0
