timesteps,episode_reward,episode_length
96.0,-9.121569,96.0
192.0,-8.67242,96.0
288.0,-9.607244,96.0
384.0,-9.869164,96.0
480.0,-10.217643,96.0
576.0,-10.470714,96.0
672.0,-10.496899,96.0
768.0,-9.030767,96.0
864.0,-8.824237,96.0
960.0,-9.229832,96.0
1056.0,-10.21983,96.0
1152.0,-8.884652,96.0
1248.0,-10.301914,96.0
1344.0,-9.584046,96.0
1440.0,-8.799858,96.0
1536.0,-9.79534,96.0
1632.0,-8.900808,96.0
1728.0,-8.858314,96.0
1824.0,-8.527055,96.0
1920.0,-8.261249,96.0
2016.0,-10.138897,96.0
2112.0,-9.354867,96.0
2208.0,-8.200435,96.0
2304.0,-10.518135,96.0
2400.0,-9.912191,96.0
2496.0,-10.691514,96.0
2592.0,-9.862277,96.0
2688.0,-9.476418,96.0
2784.0,-9.946979,96.0
2880.0,-10.109336,96.0
2976.0,-10.211678,96.0
3072.0,-9.171181,96.0
3168.0,-7.710709,96.0
3264.0,-8.327402,96.0
3360.0,-10.251441,96.0
3456.0,-9.211906,96.0
3552.0,-9.346293,96.0
3648.0,-10.075379,96.0
3744.0,-10.004307,96.0
3840.0,-10.427953,96.0
3936.0,-9.621032,96.0
4032.0,-8.712053,96.0
4128.0,-9.647399,96.0
4224.0,-9.151574,96.0
4320.0,-9.924775,96.0
4416.0,-9.901385,96.0
4512.0,-9.972264,96.0
4608.0,-9.8025,96.0
4704.0,-9.005564,96.0
4800.0,-10.345425,96.0
4896.0,-9.386652,96.0
4992.0,-8.821039,96.0
5088.0,-8.65758,96.0
5184.0,-9.610114,96.0
5280.0,-7.902026,96.0
5376.0,-10.131373,96.0
5472.0,-10.28629,96.0
5568.0,-10.286601,96.0
5664.0,-9.00741,96.0
5760.0,-9.685474,96.0
5856.0,-9.728499,96.0
5952.0,-9.999369,96.0
6048.0,-10.370194,96.0
6144.0,-9.489992,96.0
6240.0,-9.104812,96.0
6336.0,-11.091954,96.0
6432.0,-8.516246,96.0
6528.0,-10.489209,96.0
6624.0,-10.267105,96.0
6720.0,-10.512952,96.0
6816.0,-10.193698,96.0
6912.0,-8.393442,96.0
7008.0,-8.970897,96.0
7104.0,-9.858229,96.0
7200.0,-9.606996,96.0
7296.0,-9.930888,96.0
7392.0,-9.042852,96.0
7488.0,-10.333524,96.0
7584.0,-8.749123,96.0
7680.0,-9.808414,96.0
7776.0,-9.622327,96.0
7872.0,-8.203358,96.0
7968.0,-8.193245,96.0
8064.0,-8.182178,96.0
8160.0,-8.766316,96.0
8256.0,-8.004949,96.0
8352.0,-7.773048,96.0
8448.0,-9.360801,96.0
8544.0,-9.772532,96.0
8640.0,-8.12762,96.0
8736.0,-10.082609,96.0
8832.0,-8.88119,96.0
8928.0,-8.40773,96.0
9024.0,-10.229437,96.0
9120.0,-9.937647,96.0
9216.0,-8.124581,96.0
9312.0,-8.160909,96.0
9408.0,-7.783338,96.0
9504.0,-10.358232,96.0
9600.0,-9.657298,96.0
9696.0,-9.437273,96.0
9792.0,-9.701151,96.0
9888.0,-8.785994,96.0
9984.0,-9.254006,96.0
10080.0,-9.032478,96.0
10176.0,-9.867591,96.0
10272.0,-8.427907,96.0
10368.0,-9.920074,96.0
10464.0,-8.191087,96.0
10560.0,-9.87668,96.0
10656.0,-9.996783,96.0
10752.0,-8.695227,96.0
10848.0,-9.430884,96.0
10944.0,-9.943518,96.0
11040.0,-9.279906,96.0
11136.0,-8.969152,96.0
11232.0,-8.066328,96.0
11328.0,-10.495326,96.0
11424.0,-9.197934,96.0
11520.0,-9.57993,96.0
11616.0,-8.838691,96.0
11712.0,-9.449379,96.0
11808.0,-9.458277,96.0
11904.0,-8.936422,96.0
12000.0,-10.067489,96.0
12096.0,-9.789503,96.0
12192.0,-9.297674,96.0
12288.0,-8.984646,96.0
12384.0,-9.07879,96.0
12480.0,-8.61386,96.0
12576.0,-7.582649,96.0
12672.0,-10.246696,96.0
12768.0,-8.150262,96.0
12864.0,-9.370067,96.0
12960.0,-9.818493,96.0
13056.0,-8.795488,96.0
13152.0,-8.033601,96.0
13248.0,-9.929583,96.0
13344.0,-9.463371,96.0
13440.0,-9.855541,96.0
13536.0,-10.475885,96.0
13632.0,-10.227226,96.0
13728.0,-10.867201,96.0
13824.0,-10.330121,96.0
13920.0,-9.954139,96.0
14016.0,-6.747456,96.0
14112.0,-9.603236,96.0
14208.0,-9.439453,96.0
14304.0,-7.456181,96.0
14400.0,-8.823822,96.0
14496.0,-7.472133,96.0
14592.0,-9.222874,96.0
14688.0,-8.678537,96.0
14784.0,-8.67271,96.0
14880.0,-8.502886,96.0
14976.0,-9.501288,96.0
15072.0,-9.118183,96.0
15168.0,-8.231919,96.0
15264.0,-10.358991,96.0
15360.0,-9.051293,96.0
15456.0,-9.687637,96.0
15552.0,-8.713861,96.0
15648.0,-10.530497,96.0
15744.0,-8.324699,96.0
15840.0,-9.177378,96.0
15936.0,-10.246943,96.0
16032.0,-9.356641,96.0
16128.0,-8.307329,96.0
16224.0,-8.8724,96.0
16320.0,-7.660651,96.0
16416.0,-9.868943,96.0
16512.0,-9.4853,96.0
16608.0,-8.687157,96.0
16704.0,-10.257165,96.0
16800.0,-9.889037,96.0
16896.0,-9.000727,96.0
16992.0,-10.09467,96.0
17088.0,-9.463478,96.0
17184.0,-8.306394,96.0
17280.0,-7.720433,96.0
17376.0,-8.903971,96.0
17472.0,-9.236577,96.0
17568.0,-9.926131,96.0
17664.0,-10.412994,96.0
17760.0,-10.385036,96.0
17856.0,-10.476463,96.0
17952.0,-9.68772,96.0
18048.0,-9.754317,96.0
18144.0,-10.039481,96.0
18240.0,-7.991928,96.0
18336.0,-9.521737,96.0
18432.0,-9.536163,96.0
18528.0,-8.12177,96.0
18624.0,-8.23871,96.0
18720.0,-9.929251,96.0
18816.0,-9.218039,96.0
18912.0,-8.803432,96.0
19008.0,-9.20328,96.0
19104.0,-8.638948,96.0
19200.0,-8.54226,96.0
19296.0,-10.108803,96.0
19392.0,-9.94944,96.0
19488.0,-8.304049,96.0
19584.0,-8.930695,96.0
19680.0,-9.305567,96.0
19776.0,-8.718506,96.0
19872.0,-8.933242,96.0
19968.0,-9.162692,96.0
20064.0,-9.649292,96.0
20160.0,-9.350851,96.0
20256.0,-9.817934,96.0
20352.0,-10.333277,96.0
20448.0,-7.207723,96.0
20544.0,-9.626832,96.0
20640.0,-10.56818,96.0
20736.0,-6.918928,96.0
20832.0,-9.806806,96.0
20928.0,-8.389913,96.0
21024.0,-8.56474,96.0
21120.0,-10.411435,96.0
21216.0,-9.648094,96.0
21312.0,-10.358213,96.0
21408.0,-9.063953,96.0
21504.0,-8.20799,96.0
21600.0,-9.684284,96.0
21696.0,-10.609819,96.0
21792.0,-9.286493,96.0
21888.0,-8.705516,96.0
21984.0,-8.391549,96.0
22080.0,-9.963663,96.0
22176.0,-10.505406,96.0
22272.0,-9.64067,96.0
22368.0,-9.347609,96.0
22464.0,-10.273884,96.0
22560.0,-10.05359,96.0
22656.0,-9.334542,96.0
22752.0,-9.732971,96.0
22848.0,-9.946184,96.0
22944.0,-9.77912,96.0
23040.0,-7.6815,96.0
23136.0,-8.919349,96.0
23232.0,-9.897238,96.0
23328.0,-10.208901,96.0
23424.0,-10.592429,96.0
23520.0,-9.546194,96.0
23616.0,-8.464349,96.0
23712.0,-10.020728,96.0
23808.0,-9.490509,96.0
23904.0,-8.937168,96.0
24000.0,-10.486023,96.0
24096.0,-9.488121,96.0
24192.0,-9.960867,96.0
24288.0,-9.046767,96.0
24384.0,-8.053448,96.0
24480.0,-8.128707,96.0
24576.0,-9.882159,96.0
24672.0,-10.563577,96.0
24768.0,-9.230682,96.0
24864.0,-9.153072,96.0
24960.0,-8.567442,96.0
25056.0,-9.188516,96.0
25152.0,-9.838705,96.0
25248.0,-10.473793,96.0
25344.0,-9.899939,96.0
25440.0,-9.319847,96.0
25536.0,-9.419586,96.0
25632.0,-8.943435,96.0
25728.0,-10.285218,96.0
25824.0,-10.004498,96.0
25920.0,-8.953379,96.0
26016.0,-8.167639,96.0
26112.0,-10.170788,96.0
26208.0,-8.29992,96.0
26304.0,-8.703045,96.0
26400.0,-8.878948,96.0
26496.0,-8.843384,96.0
26592.0,-10.216757,96.0
26688.0,-10.118485,96.0
26784.0,-9.271539,96.0
26880.0,-10.359402,96.0
